Inclusion data :
Temperature of total homogenization : 249.7 C
Pressure of total homogenization    : 37.4439 bar
Salinity                            : 9.20911 wt.% NaCl eq.
Density                             : 0.88256 g/ccm

Isochore data :
T [C]	P[bar]
249.7	37.4439
250.7	52.1787
251.7	66.7031
252.7	81.1025
253.7	95.4193
254.7	109.678
255.7	123.895
256.7	138.081
257.7	152.245
258.7	166.391
259.7	180.524
260.7	194.649
261.7	208.768
262.7	222.884
263.7	236.998
264.7	251.112
265.7	265.227
266.7	279.344
267.7	293.465
268.7	307.59
269.7	321.719
270.7	335.854
271.7	349.994
272.7	364.14
273.7	378.292
274.7	392.451
275.7	406.617
276.7	420.789
277.7	434.968
278.7	449.155
279.7	463.349
280.7	477.55
281.7	491.759
282.7	505.975
283.7	520.199
284.7	534.43
285.7	548.669
286.7	562.916
287.7	577.17
288.7	591.432
289.7	605.702
290.7	619.98
291.7	634.265
292.7	648.559
293.7	662.86
294.7	677.169
295.7	691.486
296.7	705.81
297.7	720.142
298.7	734.482
299.7	748.83
300.7	763.186
301.7	777.549
302.7	791.92
303.7	806.299
304.7	820.686
305.7	835.08
306.7	849.482
307.7	863.891
308.7	878.308
309.7	892.732
310.7	907.164
311.7	921.604
312.7	936.051
313.7	950.505
314.7	964.967
315.7	979.436
316.7	993.912
317.7	1008.4
318.7	1022.89
319.7	1037.38
320.7	1051.89
321.7	1066.4
322.7	1080.92
323.7	1095.45
324.7	1109.98
325.7	1124.52
326.7	1139.07
327.7	1153.62
328.7	1168.18
329.7	1182.75
330.7	1197.32
331.7	1211.9
332.7	1226.49
333.7	1241.08
334.7	1255.68
335.7	1270.29
336.7	1284.9
337.7	1299.52
338.7	1314.14
339.7	1328.78
340.7	1343.41
341.7	1358.06
342.7	1372.71
343.7	1387.36
344.7	1402.02
345.7	1416.69
346.7	1431.36
347.7	1446.04
348.7	1460.72
349.7	1475.41
350.7	1490.11
351.7	1504.81
352.7	1519.51
353.7	1534.23
354.7	1548.94
355.7	1563.66
356.7	1578.39
357.7	1593.12
358.7	1607.86
359.7	1622.6
360.7	1637.35
361.7	1652.1
362.7	1666.86
363.7	1681.62
364.7	1696.38
365.7	1711.16
366.7	1725.93
367.7	1740.71
368.7	1755.49
369.7	1770.28
370.7	1785.07
371.7	1799.87
372.7	1814.67
373.7	1829.48
374.7	1844.29
375.7	1859.1
376.7	1873.92
377.7	1888.74
378.7	1903.56
379.7	1918.39
380.7	1933.22
381.7	1948.05
382.7	1962.89
383.7	1977.74
384.7	1992.58
385.7	2007.43
386.7	2022.28
387.7	2037.14
388.7	2051.99
389.7	2066.86
390.7	2081.72
391.7	2096.59
392.7	2111.46
393.7	2126.33
394.7	2141.2
395.7	2156.08
396.7	2170.96
