Inclusion data :
Temperature of total homogenization : 201.4 C
Pressure of total homogenization    : 15.0346 bar
Salinity                            : 9.20911 wt.% NaCl eq.
Density                             : 0.936382 g/ccm

Isochore data :
T [C]	P[bar]
201.4	15.0346
202.4	32.6506
203.4	49.2894
204.4	65.588
205.4	81.7061
206.4	97.7139
207.4	113.65
208.4	129.538
209.4	145.395
210.4	161.233
211.4	177.06
212.4	192.884
213.4	208.708
214.4	224.537
215.4	240.375
216.4	256.223
217.4	272.083
218.4	287.957
219.4	303.845
220.4	319.749
221.4	335.667
222.4	351.601
223.4	367.551
224.4	383.516
225.4	399.496
226.4	415.492
227.4	431.503
228.4	447.528
229.4	463.568
230.4	479.622
231.4	495.689
232.4	511.771
233.4	527.866
234.4	543.974
235.4	560.096
236.4	576.23
237.4	592.377
238.4	608.537
239.4	624.709
240.4	640.894
241.4	657.091
242.4	673.3
243.4	689.522
244.4	705.755
245.4	722.001
246.4	738.258
247.4	754.528
248.4	770.809
249.4	787.102
250.4	803.407
251.4	819.724
252.4	836.052
253.4	852.392
254.4	868.743
255.4	885.106
256.4	901.481
257.4	917.867
258.4	934.264
259.4	950.672
260.4	967.092
261.4	983.523
262.4	999.965
263.4	1016.42
264.4	1032.88
265.4	1049.36
266.4	1065.84
267.4	1082.34
268.4	1098.85
269.4	1115.37
270.4	1131.9
271.4	1148.44
272.4	1164.99
273.4	1181.55
274.4	1198.12
275.4	1214.7
276.4	1231.29
277.4	1247.89
278.4	1264.51
279.4	1281.13
280.4	1297.76
281.4	1314.4
282.4	1331.05
283.4	1347.71
284.4	1364.38
285.4	1381.06
286.4	1397.75
287.4	1414.45
288.4	1431.16
289.4	1447.88
290.4	1464.61
291.4	1481.34
292.4	1498.09
293.4	1514.84
294.4	1531.6
295.4	1548.37
296.4	1565.15
297.4	1581.94
298.4	1598.74
299.4	1615.54
300.4	1632.35
301.4	1649.18
302.4	1666
303.4	1682.84
304.4	1699.69
305.4	1716.54
306.4	1733.4
307.4	1750.27
308.4	1767.14
309.4	1784.03
310.4	1800.92
311.4	1817.82
312.4	1834.72
313.4	1851.63
314.4	1868.55
315.4	1885.48
316.4	1902.41
317.4	1919.35
318.4	1936.3
319.4	1953.25
320.4	1970.21
321.4	1987.17
322.4	2004.14
323.4	2021.12
324.4	2038.1
325.4	2055.09
326.4	2072.09
327.4	2089.09
328.4	2106.09
329.4	2123.1
330.4	2140.12
331.4	2157.14
332.4	2174.17
333.4	2191.2
334.4	2208.24
335.4	2225.28
336.4	2242.33
337.4	2259.38
338.4	2276.44
339.4	2293.5
340.4	2310.57
341.4	2327.64
342.4	2344.71
343.4	2361.79
344.4	2378.87
345.4	2395.96
346.4	2413.05
347.4	2430.14
348.4	2447.24
349.4	2464.34
350.4	2481.44
351.4	2498.55
352.4	2515.66
353.4	2532.77
354.4	2549.89
355.4	2567.01
356.4	2584.13
357.4	2601.26
358.4	2618.38
359.4	2635.51
360.4	2652.65
361.4	2669.78
362.4	2686.92
363.4	2704.06
364.4	2721.2
365.4	2738.34
366.4	2755.49
367.4	2772.63
368.4	2789.78
369.4	2806.93
370.4	2824.08
371.4	2841.24
372.4	2858.39
373.4	2875.55
374.4	2892.7
375.4	2909.86
376.4	2927.02
377.4	2944.18
378.4	2961.34
379.4	2978.5
380.4	2995.66
381.4	3012.82
382.4	3029.98
383.4	3047.14
384.4	3064.3
385.4	3081.46
386.4	3098.63
387.4	3115.79
388.4	3132.95
389.4	3150.11
390.4	3167.27
391.4	3184.43
392.4	3201.59
393.4	3218.75
394.4	3235.91
395.4	3253.06
396.4	3270.22
397.4	3287.37
398.4	3304.53
399.4	3321.68
400.4	3338.83
401.4	3355.98
402.4	3373.13
403.4	3390.28
404.4	3407.42
405.4	3424.56
406.4	3441.71
407.4	3458.85
408.4	3475.98
409.4	3493.12
410.4	3510.25
411.4	3527.38
412.4	3544.51
413.4	3561.64
414.4	3578.76
415.4	3595.88
416.4	3613
417.4	3630.12
418.4	3647.23
419.4	3664.34
420.4	3681.45
421.4	3698.55
422.4	3715.66
423.4	3732.75
424.4	3749.85
425.4	3766.94
426.4	3784.03
427.4	3801.11
428.4	3818.19
429.4	3835.27
430.4	3852.34
431.4	3869.41
432.4	3886.48
433.4	3903.54
434.4	3920.6
435.4	3937.65
436.4	3954.7
437.4	3971.75
438.4	3988.79
439.4	4005.83
440.4	4022.86
441.4	4039.89
442.4	4056.91
443.4	4073.93
444.4	4090.94
445.4	4107.95
446.4	4124.96
447.4	4141.96
448.4	4158.95
449.4	4175.94
450.4	4192.93
451.4	4209.91
452.4	4226.88
453.4	4243.85
454.4	4260.81
455.4	4277.77
456.4	4294.72
457.4	4311.67
458.4	4328.61
459.4	4345.55
460.4	4362.48
461.4	4379.4
462.4	4396.32
463.4	4413.24
464.4	4430.14
465.4	4447.04
466.4	4463.94
467.4	4480.83
468.4	4497.71
469.4	4514.59
470.4	4531.46
471.4	4548.32
472.4	4565.18
473.4	4582.03
474.4	4598.88
475.4	4615.71
476.4	4632.55
477.4	4649.37
478.4	4666.19
479.4	4683
480.4	4699.81
481.4	4716.6
482.4	4733.4
483.4	4750.18
484.4	4766.96
485.4	4783.73
486.4	4800.49
487.4	4817.25
488.4	4834
489.4	4850.74
490.4	4867.47
491.4	4884.2
492.4	4900.92
493.4	4917.63
494.4	4934.34
495.4	4951.04
496.4	4967.73
497.4	4984.41
