Inclusion data :
Temperature of total homogenization : 154.2 C
Pressure of total homogenization    : 4.9459 bar
Salinity                            : 9.72758 wt.% NaCl eq.
Density                             : 0.984324 g/ccm

Isochore data :
T [C]	P[bar]
154.2	4.9459
155.2	24.8239
156.2	41.3424
157.2	57.4261
158.2	73.3323
159.2	89.1597
160.2	104.96
161.2	120.767
162.2	136.599
163.2	152.474
164.2	168.401
165.2	184.388
166.2	200.441
167.2	216.563
168.2	232.757
169.2	249.022
170.2	265.359
171.2	281.766
172.2	298.242
173.2	314.785
174.2	331.392
175.2	348.061
176.2	364.789
177.2	381.572
178.2	398.408
179.2	415.293
180.2	432.226
181.2	449.204
182.2	466.223
183.2	483.282
184.2	500.379
185.2	517.512
186.2	534.678
187.2	551.877
188.2	569.107
189.2	586.367
190.2	603.655
191.2	620.971
192.2	638.313
193.2	655.681
194.2	673.075
195.2	690.493
196.2	707.935
197.2	725.4
198.2	742.889
199.2	760.4
200.2	777.934
201.2	795.49
202.2	813.068
203.2	830.667
204.2	848.287
205.2	865.929
206.2	883.591
207.2	901.275
208.2	918.978
209.2	936.702
210.2	954.447
211.2	972.211
212.2	989.995
213.2	1007.8
214.2	1025.62
215.2	1043.47
216.2	1061.33
217.2	1079.21
218.2	1097.11
219.2	1115.03
220.2	1132.97
221.2	1150.92
222.2	1168.9
223.2	1186.89
224.2	1204.9
225.2	1222.93
226.2	1240.98
227.2	1259.05
228.2	1277.13
229.2	1295.23
230.2	1313.35
231.2	1331.48
232.2	1349.63
233.2	1367.8
234.2	1385.99
235.2	1404.19
236.2	1422.41
237.2	1440.65
238.2	1458.9
239.2	1477.17
240.2	1495.45
241.2	1513.75
242.2	1532.06
243.2	1550.39
244.2	1568.74
245.2	1587.1
246.2	1605.48
247.2	1623.87
248.2	1642.27
249.2	1660.69
250.2	1679.13
251.2	1697.58
252.2	1716.04
253.2	1734.52
254.2	1753.01
255.2	1771.52
256.2	1790.04
257.2	1808.57
258.2	1827.11
259.2	1845.67
260.2	1864.25
261.2	1882.83
262.2	1901.43
263.2	1920.04
264.2	1938.66
265.2	1957.3
266.2	1975.94
267.2	1994.6
268.2	2013.27
269.2	2031.96
270.2	2050.65
271.2	2069.36
272.2	2088.07
273.2	2106.8
274.2	2125.54
275.2	2144.29
276.2	2163.05
277.2	2181.82
278.2	2200.6
279.2	2219.39
280.2	2238.19
281.2	2257.01
282.2	2275.83
283.2	2294.66
284.2	2313.5
285.2	2332.35
286.2	2351.21
287.2	2370.07
288.2	2388.95
289.2	2407.84
290.2	2426.73
291.2	2445.63
292.2	2464.54
293.2	2483.46
294.2	2502.39
295.2	2521.32
296.2	2540.26
297.2	2559.21
298.2	2578.17
299.2	2597.14
300.2	2616.11
301.2	2635.09
302.2	2654.07
303.2	2673.06
304.2	2692.06
305.2	2711.07
306.2	2730.08
307.2	2749.09
308.2	2768.12
309.2	2787.14
310.2	2806.18
311.2	2825.22
312.2	2844.26
313.2	2863.31
314.2	2882.37
315.2	2901.43
316.2	2920.49
317.2	2939.56
318.2	2958.64
319.2	2977.71
320.2	2996.8
321.2	3015.88
322.2	3034.97
323.2	3054.07
324.2	3073.17
325.2	3092.27
326.2	3111.37
327.2	3130.48
328.2	3149.59
329.2	3168.7
330.2	3187.82
331.2	3206.94
332.2	3226.06
333.2	3245.19
334.2	3264.31
335.2	3283.44
336.2	3302.57
337.2	3321.7
338.2	3340.84
339.2	3359.97
340.2	3379.11
341.2	3398.25
342.2	3417.39
343.2	3436.53
344.2	3455.67
345.2	3474.81
346.2	3493.96
347.2	3513.1
348.2	3532.25
349.2	3551.39
350.2	3570.54
351.2	3589.68
352.2	3608.82
353.2	3627.97
354.2	3647.11
355.2	3666.26
356.2	3685.4
357.2	3704.54
358.2	3723.69
359.2	3742.83
360.2	3761.97
361.2	3781.1
362.2	3800.24
363.2	3819.38
364.2	3838.51
365.2	3857.65
366.2	3876.78
367.2	3895.91
368.2	3915.03
369.2	3934.16
370.2	3953.28
371.2	3972.4
372.2	3991.52
373.2	4010.64
374.2	4029.75
375.2	4048.86
376.2	4067.97
377.2	4087.07
378.2	4106.18
379.2	4125.27
380.2	4144.37
381.2	4163.46
382.2	4182.55
383.2	4201.64
384.2	4220.72
385.2	4239.8
386.2	4258.87
387.2	4277.94
388.2	4297
389.2	4316.07
390.2	4335.12
391.2	4354.18
392.2	4373.23
393.2	4392.27
394.2	4411.31
395.2	4430.34
396.2	4449.37
397.2	4468.4
398.2	4487.42
399.2	4506.43
400.2	4525.44
401.2	4544.45
402.2	4563.45
403.2	4582.44
404.2	4601.43
405.2	4620.41
406.2	4639.39
407.2	4658.36
408.2	4677.32
409.2	4696.28
410.2	4715.23
411.2	4734.18
412.2	4753.12
413.2	4772.06
414.2	4790.98
415.2	4809.91
416.2	4828.82
417.2	4847.73
418.2	4866.63
419.2	4885.53
420.2	4904.42
421.2	4923.3
422.2	4942.17
423.2	4961.04
424.2	4979.9
425.2	4998.75
