Inclusion data :
Temperature of total homogenization : 150.4 C
Pressure of total homogenization    : 4.45175 bar
Salinity                            : 10.2353 wt.% NaCl eq.
Density                             : 0.991314 g/ccm

Isochore data :
T [C]	P[bar]
150.4	4.45175
151.4	24.6349
152.4	40.9374
153.4	56.8126
154.4	72.5237
155.4	88.1717
156.4	103.809
157.4	119.469
158.4	135.172
159.4	150.933
160.4	166.762
161.4	182.667
162.4	198.651
163.4	214.718
164.4	230.869
165.4	247.104
166.4	263.42
167.4	279.817
168.4	296.292
169.4	312.841
170.4	329.462
171.4	346.15
172.4	362.903
173.4	379.716
174.4	396.587
175.4	413.511
176.4	430.486
177.4	447.508
178.4	464.575
179.4	481.684
180.4	498.832
181.4	516.018
182.4	533.24
183.4	550.496
184.4	567.785
185.4	585.104
186.4	602.453
187.4	619.832
188.4	637.238
189.4	654.671
190.4	672.13
191.4	689.616
192.4	707.126
193.4	724.662
194.4	742.221
195.4	759.805
196.4	777.412
197.4	795.042
198.4	812.695
199.4	830.371
200.4	848.07
201.4	865.79
202.4	883.533
203.4	901.298
204.4	919.085
205.4	936.893
206.4	954.722
207.4	972.573
208.4	990.445
209.4	1008.34
210.4	1026.25
211.4	1044.19
212.4	1062.14
213.4	1080.12
214.4	1098.11
215.4	1116.13
216.4	1134.16
217.4	1152.22
218.4	1170.29
219.4	1188.39
220.4	1206.5
221.4	1224.63
222.4	1242.79
223.4	1260.96
224.4	1279.15
225.4	1297.36
226.4	1315.59
227.4	1333.83
228.4	1352.1
229.4	1370.38
230.4	1388.68
231.4	1407
232.4	1425.33
233.4	1443.69
234.4	1462.06
235.4	1480.45
236.4	1498.85
237.4	1517.28
238.4	1535.72
239.4	1554.17
240.4	1572.65
241.4	1591.13
242.4	1609.64
243.4	1628.16
244.4	1646.7
245.4	1665.25
246.4	1683.82
247.4	1702.41
248.4	1721.01
249.4	1739.62
250.4	1758.26
251.4	1776.9
252.4	1795.56
253.4	1814.24
254.4	1832.93
255.4	1851.63
256.4	1870.35
257.4	1889.08
258.4	1907.83
259.4	1926.59
260.4	1945.36
261.4	1964.15
262.4	1982.95
263.4	2001.77
264.4	2020.59
265.4	2039.43
266.4	2058.29
267.4	2077.15
268.4	2096.03
269.4	2114.92
270.4	2133.82
271.4	2152.73
272.4	2171.66
273.4	2190.6
274.4	2209.55
275.4	2228.51
276.4	2247.48
277.4	2266.46
278.4	2285.45
279.4	2304.46
280.4	2323.47
281.4	2342.5
282.4	2361.53
283.4	2380.58
284.4	2399.63
285.4	2418.7
286.4	2437.78
287.4	2456.86
288.4	2475.95
289.4	2495.06
290.4	2514.17
291.4	2533.29
292.4	2552.42
293.4	2571.56
294.4	2590.71
295.4	2609.86
296.4	2629.02
297.4	2648.2
298.4	2667.38
299.4	2686.56
300.4	2705.76
301.4	2724.96
302.4	2744.17
303.4	2763.38
304.4	2782.61
305.4	2801.84
306.4	2821.07
307.4	2840.32
308.4	2859.56
309.4	2878.82
310.4	2898.08
311.4	2917.35
312.4	2936.62
313.4	2955.9
314.4	2975.18
315.4	2994.47
316.4	3013.77
317.4	3033.07
318.4	3052.37
319.4	3071.68
320.4	3090.99
321.4	3110.31
322.4	3129.63
323.4	3148.96
324.4	3168.29
325.4	3187.62
326.4	3206.96
327.4	3226.3
328.4	3245.65
329.4	3265
330.4	3284.35
331.4	3303.7
332.4	3323.06
333.4	3342.42
334.4	3361.78
335.4	3381.14
336.4	3400.51
337.4	3419.88
338.4	3439.25
339.4	3458.62
340.4	3478
341.4	3497.37
342.4	3516.75
343.4	3536.13
344.4	3555.51
345.4	3574.89
346.4	3594.27
347.4	3613.66
348.4	3633.04
349.4	3652.42
350.4	3671.81
351.4	3691.19
352.4	3710.58
353.4	3729.96
354.4	3749.35
355.4	3768.73
356.4	3788.11
357.4	3807.5
358.4	3826.88
359.4	3846.26
360.4	3865.65
361.4	3885.03
362.4	3904.4
363.4	3923.78
364.4	3943.16
365.4	3962.54
366.4	3981.91
367.4	4001.28
368.4	4020.65
369.4	4040.02
370.4	4059.39
371.4	4078.75
372.4	4098.11
373.4	4117.47
374.4	4136.83
375.4	4156.18
376.4	4175.53
377.4	4194.88
378.4	4214.23
379.4	4233.57
380.4	4252.91
381.4	4272.25
382.4	4291.58
383.4	4310.91
384.4	4330.24
385.4	4349.56
386.4	4368.88
387.4	4388.19
388.4	4407.5
389.4	4426.81
390.4	4446.11
391.4	4465.41
392.4	4484.7
393.4	4503.99
394.4	4523.28
395.4	4542.56
396.4	4561.83
397.4	4581.1
398.4	4600.37
399.4	4619.63
400.4	4638.88
401.4	4658.13
402.4	4677.38
403.4	4696.62
404.4	4715.85
405.4	4735.08
406.4	4754.3
407.4	4773.52
408.4	4792.73
409.4	4811.93
410.4	4831.13
411.4	4850.32
412.4	4869.51
413.4	4888.69
414.4	4907.86
415.4	4927.03
416.4	4946.19
417.4	4965.34
418.4	4984.49
