Inclusion data :
Temperature of total homogenization : 254.5 C
Pressure of total homogenization    : 40.1793 bar
Salinity                            : 10.7326 wt.% NaCl eq.
Density                             : 0.89002 g/ccm

Isochore data :
T [C]	P[bar]
254.5	40.1793
255.5	54.9076
256.5	69.4035
257.5	83.7583
258.5	98.0184
259.5	112.211
260.5	126.355
261.5	140.462
262.5	154.541
263.5	168.599
264.5	182.641
265.5	196.671
266.5	210.692
267.5	224.707
268.5	238.718
269.5	252.727
270.5	266.735
271.5	280.744
272.5	294.754
273.5	308.766
274.5	322.781
275.5	336.8
276.5	350.823
277.5	364.85
278.5	378.883
279.5	392.921
280.5	406.964
281.5	421.013
282.5	435.068
283.5	449.129
284.5	463.197
285.5	477.271
286.5	491.352
287.5	505.44
288.5	519.535
289.5	533.637
290.5	547.746
291.5	561.863
292.5	575.986
293.5	590.118
294.5	604.257
295.5	618.403
296.5	632.557
297.5	646.719
298.5	660.888
299.5	675.065
300.5	689.25
301.5	703.443
302.5	717.644
303.5	731.853
304.5	746.069
305.5	760.293
306.5	774.526
307.5	788.766
308.5	803.014
309.5	817.27
310.5	831.534
311.5	845.806
312.5	860.086
313.5	874.374
314.5	888.67
315.5	902.973
316.5	917.285
317.5	931.605
318.5	945.932
319.5	960.267
320.5	974.61
321.5	988.961
322.5	1003.32
323.5	1017.69
324.5	1032.06
325.5	1046.44
326.5	1060.83
327.5	1075.23
328.5	1089.63
329.5	1104.04
330.5	1118.46
331.5	1132.89
332.5	1147.33
333.5	1161.77
334.5	1176.22
335.5	1190.68
336.5	1205.14
337.5	1219.61
338.5	1234.09
339.5	1248.58
340.5	1263.07
341.5	1277.57
342.5	1292.08
343.5	1306.59
344.5	1321.11
345.5	1335.64
346.5	1350.18
347.5	1364.72
348.5	1379.27
349.5	1393.82
350.5	1408.39
351.5	1422.96
352.5	1437.53
353.5	1452.12
354.5	1466.7
355.5	1481.3
356.5	1495.9
357.5	1510.51
358.5	1525.12
359.5	1539.75
360.5	1554.37
361.5	1569.01
362.5	1583.65
363.5	1598.29
364.5	1612.94
365.5	1627.6
366.5	1642.26
367.5	1656.93
368.5	1671.61
369.5	1686.29
370.5	1700.97
371.5	1715.67
372.5	1730.36
373.5	1745.07
374.5	1759.78
375.5	1774.49
376.5	1789.21
377.5	1803.93
378.5	1818.66
379.5	1833.4
380.5	1848.14
381.5	1862.88
382.5	1877.63
383.5	1892.39
384.5	1907.15
385.5	1921.91
386.5	1936.68
387.5	1951.45
388.5	1966.23
389.5	1981.02
390.5	1995.8
391.5	2010.59
392.5	2025.39
393.5	2040.19
394.5	2055
395.5	2069.8
396.5	2084.62
397.5	2099.43
398.5	2114.26
399.5	2129.08
400.5	2143.91
401.5	2158.74
402.5	2173.58
403.5	2188.42
404.5	2203.26
405.5	2218.11
406.5	2232.96
407.5	2247.81
408.5	2262.67
409.5	2277.53
410.5	2292.39
411.5	2307.26
412.5	2322.13
413.5	2337
414.5	2351.87
415.5	2366.75
416.5	2381.63
417.5	2396.52
418.5	2411.4
419.5	2426.29
420.5	2441.18
421.5	2456.08
422.5	2470.97
423.5	2485.87
424.5	2500.77
425.5	2515.67
426.5	2530.58
427.5	2545.49
428.5	2560.4
429.5	2575.31
430.5	2590.22
431.5	2605.13
432.5	2620.05
433.5	2634.97
434.5	2649.89
435.5	2664.81
436.5	2679.73
437.5	2694.65
438.5	2709.58
439.5	2724.51
440.5	2739.43
441.5	2754.36
442.5	2769.29
443.5	2784.22
444.5	2799.15
445.5	2814.09
446.5	2829.02
447.5	2843.95
448.5	2858.89
449.5	2873.82
450.5	2888.76
451.5	2903.69
452.5	2918.63
453.5	2933.57
454.5	2948.5
455.5	2963.44
456.5	2978.38
457.5	2993.32
458.5	3008.25
459.5	3023.19
460.5	3038.13
461.5	3053.06
462.5	3068
463.5	3082.94
464.5	3097.87
465.5	3112.81
466.5	3127.74
467.5	3142.68
468.5	3157.61
469.5	3172.55
470.5	3187.48
471.5	3202.41
472.5	3217.34
473.5	3232.27
474.5	3247.2
475.5	3262.13
476.5	3277.05
477.5	3291.98
478.5	3306.9
479.5	3321.83
480.5	3336.75
481.5	3351.67
482.5	3366.59
483.5	3381.5
484.5	3396.42
485.5	3411.33
486.5	3426.24
487.5	3441.15
488.5	3456.06
489.5	3470.97
490.5	3485.87
491.5	3500.78
492.5	3515.68
493.5	3530.57
494.5	3545.47
495.5	3560.36
496.5	3575.26
497.5	3590.15
498.5	3605.03
499.5	3619.92
500.5	3634.8
501.5	3649.68
502.5	3664.55
503.5	3679.43
504.5	3694.3
505.5	3709.17
506.5	3724.03
507.5	3738.9
508.5	3753.76
509.5	3768.61
510.5	3783.47
511.5	3798.32
512.5	3813.17
513.5	3828.01
514.5	3842.85
515.5	3857.69
516.5	3872.53
517.5	3887.36
518.5	3902.18
519.5	3917.01
520.5	3931.83
521.5	3946.65
522.5	3961.46
523.5	3976.27
524.5	3991.08
525.5	4005.88
526.5	4020.68
527.5	4035.47
528.5	4050.26
529.5	4065.05
530.5	4079.83
531.5	4094.61
532.5	4109.39
533.5	4124.16
534.5	4138.92
535.5	4153.68
536.5	4168.44
537.5	4183.2
538.5	4197.95
539.5	4212.69
540.5	4227.43
541.5	4242.17
542.5	4256.9
543.5	4271.62
544.5	4286.35
545.5	4301.06
546.5	4315.78
547.5	4330.49
548.5	4345.19
549.5	4359.89
550.5	4374.58
551.5	4389.27
552.5	4403.95
553.5	4418.63
554.5	4433.31
555.5	4447.98
556.5	4462.64
557.5	4477.3
558.5	4491.95
559.5	4506.6
560.5	4521.24
561.5	4535.88
562.5	4550.51
563.5	4565.14
564.5	4579.76
565.5	4594.38
566.5	4608.99
567.5	4623.59
568.5	4638.19
569.5	4652.79
570.5	4667.38
571.5	4681.96
572.5	4696.54
573.5	4711.11
574.5	4725.68
575.5	4740.24
576.5	4754.79
577.5	4769.34
578.5	4783.88
579.5	4798.42
580.5	4812.95
581.5	4827.48
582.5	4842
583.5	4856.51
584.5	4871.02
585.5	4885.52
586.5	4900.02
587.5	4914.51
588.5	4928.99
589.5	4943.47
590.5	4957.94
591.5	4972.4
592.5	4986.86
