Inclusion data :
Temperature of total homogenization : 185.1 C
Pressure of total homogenization    : 10.235 bar
Salinity                            : 12.7336 wt.% NaCl eq.
Density                             : 0.979979 g/ccm

Isochore data :
T [C]	P[bar]
185.1	10.235
186.1	30.4149
187.1	47.8862
188.1	64.7797
189.1	81.408
190.1	97.8932
191.1	114.298
192.1	130.659
193.1	146.999
194.1	163.334
195.1	179.673
196.1	196.023
197.1	212.389
198.1	228.774
199.1	245.177
200.1	261.602
201.1	278.046
202.1	294.511
203.1	310.996
204.1	327.499
205.1	344.021
206.1	360.561
207.1	377.117
208.1	393.691
209.1	410.28
210.1	426.884
211.1	443.504
212.1	460.139
213.1	476.788
214.1	493.451
215.1	510.129
216.1	526.822
217.1	543.528
218.1	560.249
219.1	576.983
220.1	593.732
221.1	610.496
222.1	627.274
223.1	644.066
224.1	660.872
225.1	677.694
226.1	694.529
227.1	711.38
228.1	728.246
229.1	745.126
230.1	762.021
231.1	778.931
232.1	795.856
233.1	812.797
234.1	829.752
235.1	846.723
236.1	863.709
237.1	880.71
238.1	897.726
239.1	914.758
240.1	931.805
241.1	948.867
242.1	965.945
243.1	983.038
244.1	1000.15
245.1	1017.27
246.1	1034.41
247.1	1051.56
248.1	1068.73
249.1	1085.92
250.1	1103.12
251.1	1120.33
252.1	1137.56
253.1	1154.81
254.1	1172.07
255.1	1189.35
256.1	1206.64
257.1	1223.95
258.1	1241.27
259.1	1258.6
260.1	1275.96
261.1	1293.32
262.1	1310.7
263.1	1328.1
264.1	1345.51
265.1	1362.94
266.1	1380.38
267.1	1397.83
268.1	1415.3
269.1	1432.79
270.1	1450.29
271.1	1467.8
272.1	1485.33
273.1	1502.87
274.1	1520.43
275.1	1538
276.1	1555.58
277.1	1573.18
278.1	1590.79
279.1	1608.42
280.1	1626.06
281.1	1643.71
282.1	1661.38
283.1	1679.06
284.1	1696.76
285.1	1714.46
286.1	1732.19
287.1	1749.92
288.1	1767.67
289.1	1785.43
290.1	1803.21
291.1	1820.99
292.1	1838.79
293.1	1856.61
294.1	1874.43
295.1	1892.27
296.1	1910.12
297.1	1927.98
298.1	1945.86
299.1	1963.75
300.1	1981.65
301.1	1999.56
302.1	2017.48
303.1	2035.42
304.1	2053.37
305.1	2071.33
306.1	2089.3
307.1	2107.28
308.1	2125.28
309.1	2143.28
310.1	2161.3
311.1	2179.33
312.1	2197.36
313.1	2215.41
314.1	2233.47
315.1	2251.55
316.1	2269.63
317.1	2287.72
318.1	2305.82
319.1	2323.93
320.1	2342.06
321.1	2360.19
322.1	2378.33
323.1	2396.48
324.1	2414.65
325.1	2432.82
326.1	2451
327.1	2469.19
328.1	2487.39
329.1	2505.6
330.1	2523.82
331.1	2542.04
332.1	2560.28
333.1	2578.52
334.1	2596.78
335.1	2615.04
336.1	2633.31
337.1	2651.58
338.1	2669.87
339.1	2688.16
340.1	2706.46
341.1	2724.77
342.1	2743.09
343.1	2761.42
344.1	2779.75
345.1	2798.09
346.1	2816.43
347.1	2834.78
348.1	2853.14
349.1	2871.51
350.1	2889.88
351.1	2908.26
352.1	2926.65
353.1	2945.04
354.1	2963.44
355.1	2981.85
356.1	3000.26
357.1	3018.67
358.1	3037.09
359.1	3055.52
360.1	3073.96
361.1	3092.39
362.1	3110.84
363.1	3129.29
364.1	3147.74
365.1	3166.2
366.1	3184.66
367.1	3203.13
368.1	3221.6
369.1	3240.07
370.1	3258.56
371.1	3277.04
372.1	3295.53
373.1	3314.02
374.1	3332.52
375.1	3351.02
376.1	3369.52
377.1	3388.02
378.1	3406.53
379.1	3425.05
380.1	3443.56
381.1	3462.08
382.1	3480.6
383.1	3499.13
384.1	3517.65
385.1	3536.18
386.1	3554.71
387.1	3573.24
388.1	3591.78
389.1	3610.32
390.1	3628.86
391.1	3647.4
392.1	3665.94
393.1	3684.48
394.1	3703.03
395.1	3721.57
396.1	3740.12
397.1	3758.67
398.1	3777.22
399.1	3795.77
400.1	3814.32
401.1	3832.87
402.1	3851.42
403.1	3869.97
404.1	3888.52
405.1	3907.07
406.1	3925.63
407.1	3944.18
408.1	3962.73
409.1	3981.28
410.1	3999.83
411.1	4018.38
412.1	4036.93
413.1	4055.48
414.1	4074.03
415.1	4092.57
416.1	4111.12
417.1	4129.66
418.1	4148.21
419.1	4166.75
420.1	4185.29
421.1	4203.83
422.1	4222.36
423.1	4240.9
424.1	4259.43
425.1	4277.96
426.1	4296.49
427.1	4315.02
428.1	4333.54
429.1	4352.06
430.1	4370.58
431.1	4389.1
432.1	4407.61
433.1	4426.12
434.1	4444.63
435.1	4463.14
436.1	4481.64
437.1	4500.14
438.1	4518.63
439.1	4537.12
440.1	4555.61
441.1	4574.1
442.1	4592.58
443.1	4611.06
444.1	4629.53
445.1	4648
446.1	4666.46
447.1	4684.93
448.1	4703.38
449.1	4721.84
450.1	4740.28
451.1	4758.73
452.1	4777.17
453.1	4795.6
454.1	4814.03
455.1	4832.46
456.1	4850.88
457.1	4869.29
458.1	4887.7
459.1	4906.11
460.1	4924.51
461.1	4942.91
462.1	4961.29
463.1	4979.68
464.1	4998.06
