Inclusion data :
Temperature of total homogenization : 175.2 C
Pressure of total homogenization    : 8.31696 bar
Salinity                            : 10.2353 wt.% NaCl eq.
Density                             : 0.969658 g/ccm

Isochore data :
T [C]	P[bar]
175.2	8.31696
176.2	27.7428
177.2	44.837
178.2	61.4528
179.2	77.8489
180.2	94.1272
181.2	110.341
182.2	126.523
183.2	142.695
184.2	158.871
185.2	175.063
186.2	191.278
187.2	207.522
188.2	223.797
189.2	240.107
190.2	256.454
191.2	272.837
192.2	289.256
193.2	305.712
194.2	322.203
195.2	338.728
196.2	355.285
197.2	371.875
198.2	388.495
199.2	405.144
200.2	421.82
201.2	438.523
202.2	455.252
203.2	472.004
204.2	488.78
205.2	505.578
206.2	522.397
207.2	539.238
208.2	556.099
209.2	572.979
210.2	589.879
211.2	606.797
212.2	623.734
213.2	640.689
214.2	657.662
215.2	674.652
216.2	691.66
217.2	708.685
218.2	725.727
219.2	742.786
220.2	759.862
221.2	776.955
222.2	794.064
223.2	811.189
224.2	828.331
225.2	845.489
226.2	862.664
227.2	879.855
228.2	897.061
229.2	914.284
230.2	931.523
231.2	948.777
232.2	966.048
233.2	983.334
234.2	1000.64
235.2	1017.95
236.2	1035.29
237.2	1052.63
238.2	1070
239.2	1087.38
240.2	1104.77
241.2	1122.18
242.2	1139.6
243.2	1157.04
244.2	1174.5
245.2	1191.96
246.2	1209.45
247.2	1226.95
248.2	1244.46
249.2	1261.99
250.2	1279.53
251.2	1297.08
252.2	1314.65
253.2	1332.24
254.2	1349.83
255.2	1367.44
256.2	1385.07
257.2	1402.71
258.2	1420.36
259.2	1438.03
260.2	1455.7
261.2	1473.4
262.2	1491.1
263.2	1508.82
264.2	1526.55
265.2	1544.3
266.2	1562.05
267.2	1579.82
268.2	1597.61
269.2	1615.4
270.2	1633.21
271.2	1651.03
272.2	1668.86
273.2	1686.7
274.2	1704.56
275.2	1722.42
276.2	1740.3
277.2	1758.19
278.2	1776.09
279.2	1794.01
280.2	1811.93
281.2	1829.86
282.2	1847.81
283.2	1865.77
284.2	1883.74
285.2	1901.71
286.2	1919.7
287.2	1937.7
288.2	1955.71
289.2	1973.73
290.2	1991.76
291.2	2009.8
292.2	2027.85
293.2	2045.91
294.2	2063.98
295.2	2082.05
296.2	2100.14
297.2	2118.24
298.2	2136.34
299.2	2154.46
300.2	2172.58
301.2	2190.71
302.2	2208.85
303.2	2227
304.2	2245.16
305.2	2263.32
306.2	2281.5
307.2	2299.68
308.2	2317.87
309.2	2336.07
310.2	2354.27
311.2	2372.48
312.2	2390.7
313.2	2408.93
314.2	2427.16
315.2	2445.4
316.2	2463.65
317.2	2481.91
318.2	2500.17
319.2	2518.44
320.2	2536.71
321.2	2554.99
322.2	2573.28
323.2	2591.57
324.2	2609.87
325.2	2628.17
326.2	2646.48
327.2	2664.79
328.2	2683.12
329.2	2701.44
330.2	2719.77
331.2	2738.11
332.2	2756.45
333.2	2774.79
334.2	2793.14
335.2	2811.5
336.2	2829.86
337.2	2848.22
338.2	2866.59
339.2	2884.96
340.2	2903.33
341.2	2921.71
342.2	2940.09
343.2	2958.48
344.2	2976.87
345.2	2995.26
346.2	3013.66
347.2	3032.06
348.2	3050.46
349.2	3068.86
350.2	3087.27
351.2	3105.68
352.2	3124.09
353.2	3142.5
354.2	3160.92
355.2	3179.34
356.2	3197.76
357.2	3216.18
358.2	3234.61
359.2	3253.03
360.2	3271.46
361.2	3289.89
362.2	3308.32
363.2	3326.75
364.2	3345.18
365.2	3363.61
366.2	3382.05
367.2	3400.48
368.2	3418.91
369.2	3437.35
370.2	3455.79
371.2	3474.22
372.2	3492.66
373.2	3511.09
374.2	3529.53
375.2	3547.96
376.2	3566.4
377.2	3584.83
378.2	3603.27
379.2	3621.7
380.2	3640.13
381.2	3658.57
382.2	3677
383.2	3695.43
384.2	3713.86
385.2	3732.28
386.2	3750.71
387.2	3769.13
388.2	3787.56
389.2	3805.98
390.2	3824.4
391.2	3842.82
392.2	3861.23
393.2	3879.64
394.2	3898.06
395.2	3916.46
396.2	3934.87
397.2	3953.27
398.2	3971.68
399.2	3990.07
400.2	4008.47
401.2	4026.86
402.2	4045.25
403.2	4063.64
404.2	4082.02
405.2	4100.4
406.2	4118.78
407.2	4137.15
408.2	4155.52
409.2	4173.89
410.2	4192.25
411.2	4210.61
412.2	4228.97
413.2	4247.32
414.2	4265.67
415.2	4284.01
416.2	4302.35
417.2	4320.68
418.2	4339.01
419.2	4357.34
420.2	4375.66
421.2	4393.97
422.2	4412.28
423.2	4430.59
424.2	4448.89
425.2	4467.19
426.2	4485.48
427.2	4503.77
428.2	4522.05
429.2	4540.32
430.2	4558.59
431.2	4576.86
432.2	4595.12
433.2	4613.37
434.2	4631.62
435.2	4649.86
436.2	4668.1
437.2	4686.33
438.2	4704.56
439.2	4722.77
440.2	4740.99
441.2	4759.19
442.2	4777.39
443.2	4795.59
444.2	4813.77
445.2	4831.95
446.2	4850.13
447.2	4868.3
448.2	4886.46
449.2	4904.61
450.2	4922.76
451.2	4940.9
452.2	4959.03
453.2	4977.16
454.2	4995.28
