Inclusion data :
Temperature of total homogenization : 325 C
Pressure of total homogenization    : 113.697 bar
Salinity                            : 10.2353 wt.% NaCl eq.
Density                             : 0.786606 g/ccm

Isochore data :
T [C]	P[bar]
325	113.697
326	124.077
327	134.45
328	144.819
329	155.186
330	165.552
331	175.919
332	186.287
333	196.658
334	207.031
335	217.409
336	227.791
337	238.178
338	248.571
339	258.968
340	269.372
341	279.781
342	290.197
343	300.619
344	311.048
345	321.483
346	331.925
347	342.374
348	352.83
349	363.293
350	373.763
351	384.241
352	394.725
353	405.216
354	415.715
355	426.221
356	436.734
357	447.254
358	457.781
359	468.316
360	478.857
361	489.406
362	499.962
363	510.524
364	521.094
365	531.671
366	542.255
367	552.846
368	563.444
369	574.048
370	584.66
371	595.278
372	605.903
373	616.535
374	627.173
375	637.818
376	648.47
377	659.128
378	669.792
379	680.464
380	691.141
381	701.825
382	712.516
383	723.212
384	733.915
385	744.624
386	755.339
387	766.06
388	776.788
389	787.521
390	798.26
391	809.006
392	819.757
393	830.513
394	841.276
395	852.045
396	862.819
397	873.598
398	884.384
399	895.175
400	905.971
401	916.773
402	927.58
403	938.393
404	949.21
405	960.034
406	970.862
407	981.696
408	992.534
409	1003.38
410	1014.23
411	1025.08
412	1035.94
413	1046.8
414	1057.67
415	1068.54
416	1079.42
417	1090.31
418	1101.19
419	1112.09
420	1122.98
421	1133.88
422	1144.79
423	1155.7
424	1166.61
425	1177.53
426	1188.46
427	1199.38
428	1210.32
429	1221.25
430	1232.19
431	1243.14
432	1254.09
433	1265.04
434	1276
435	1286.96
436	1297.92
437	1308.89
438	1319.86
439	1330.84
440	1341.82
441	1352.8
442	1363.79
443	1374.78
444	1385.77
445	1396.77
446	1407.77
447	1418.78
448	1429.78
449	1440.8
450	1451.81
451	1462.83
452	1473.85
453	1484.87
454	1495.9
455	1506.93
456	1517.97
457	1529
458	1540.05
459	1551.09
460	1562.13
461	1573.18
462	1584.24
463	1595.29
464	1606.35
465	1617.41
466	1628.47
467	1639.54
468	1650.6
469	1661.68
470	1672.75
471	1683.82
472	1694.9
473	1705.98
474	1717.07
475	1728.15
476	1739.24
477	1750.33
478	1761.42
479	1772.52
480	1783.61
481	1794.71
482	1805.81
483	1816.92
484	1828.02
485	1839.13
486	1850.24
487	1861.35
488	1872.46
489	1883.58
490	1894.69
491	1905.81
492	1916.93
493	1928.05
494	1939.18
495	1950.3
496	1961.43
497	1972.56
498	1983.69
499	1994.82
500	2005.95
501	2017.09
502	2028.22
503	2039.36
504	2050.5
505	2061.63
506	2072.77
507	2083.92
508	2095.06
509	2106.2
510	2117.35
511	2128.49
512	2139.64
513	2150.79
514	2161.94
515	2173.09
516	2184.24
517	2195.39
518	2206.54
519	2217.7
520	2228.85
521	2240.01
522	2251.16
523	2262.32
524	2273.47
525	2284.63
526	2295.79
527	2306.95
528	2318.11
529	2329.27
530	2340.42
531	2351.58
532	2362.75
533	2373.91
534	2385.07
535	2396.23
536	2407.39
537	2418.55
538	2429.71
539	2440.87
540	2452.04
541	2463.2
542	2474.36
543	2485.52
544	2496.68
545	2507.84
546	2519.01
547	2530.17
548	2541.33
549	2552.49
550	2563.65
551	2574.81
552	2585.97
553	2597.13
554	2608.29
555	2619.45
556	2630.61
557	2641.77
558	2652.93
559	2664.08
560	2675.24
561	2686.4
562	2697.55
563	2708.71
564	2719.86
565	2731.01
566	2742.17
567	2753.32
568	2764.47
569	2775.62
570	2786.77
571	2797.92
572	2809.07
573	2820.21
574	2831.36
575	2842.5
576	2853.65
577	2864.79
578	2875.93
579	2887.07
580	2898.21
581	2909.35
582	2920.49
583	2931.62
584	2942.76
585	2953.89
586	2965.02
587	2976.15
588	2987.28
589	2998.41
590	3009.54
591	3020.66
592	3031.79
593	3042.91
594	3054.03
595	3065.15
596	3076.27
597	3087.38
598	3098.5
599	3109.61
600	3120.72
601	3131.83
602	3142.94
603	3154.05
604	3165.15
605	3176.25
606	3187.35
607	3198.45
608	3209.55
609	3220.64
610	3231.74
611	3242.83
612	3253.92
613	3265
614	3276.09
615	3287.17
616	3298.25
617	3309.33
618	3320.41
619	3331.48
620	3342.56
621	3353.63
622	3364.7
623	3375.76
624	3386.83
625	3397.89
626	3408.95
627	3420
628	3431.06
629	3442.11
630	3453.16
631	3464.21
632	3475.25
633	3486.3
634	3497.34
635	3508.37
636	3519.41
637	3530.44
