Inclusion data :
Temperature of total homogenization : 290.2 C
Pressure of total homogenization    : 70.4585 bar
Salinity                            : 10.2353 wt.% NaCl eq.
Density                             : 0.838974 g/ccm

Isochore data :
T [C]	P[bar]
290.2	70.4585
291.2	82.9063
292.2	95.2991
293.2	107.652
294.2	119.975
295.2	132.275
296.2	144.559
297.2	156.83
298.2	169.091
299.2	181.345
300.2	193.595
301.2	205.842
302.2	218.087
303.2	230.332
304.2	242.577
305.2	254.824
306.2	267.074
307.2	279.326
308.2	291.582
309.2	303.842
310.2	316.106
311.2	328.375
312.2	340.649
313.2	352.929
314.2	365.213
315.2	377.504
316.2	389.8
317.2	402.102
318.2	414.411
319.2	426.726
320.2	439.047
321.2	451.375
322.2	463.709
323.2	476.05
324.2	488.397
325.2	500.751
326.2	513.112
327.2	525.48
328.2	537.855
329.2	550.236
330.2	562.624
331.2	575.019
332.2	587.422
333.2	599.831
334.2	612.246
335.2	624.669
336.2	637.099
337.2	649.535
338.2	661.979
339.2	674.429
340.2	686.886
341.2	699.35
342.2	711.821
343.2	724.299
344.2	736.783
345.2	749.275
346.2	761.773
347.2	774.277
348.2	786.789
349.2	799.307
350.2	811.831
351.2	824.363
352.2	836.901
353.2	849.445
354.2	861.996
355.2	874.553
356.2	887.117
357.2	899.687
358.2	912.264
359.2	924.847
360.2	937.436
361.2	950.032
362.2	962.634
363.2	975.242
364.2	987.856
365.2	1000.48
366.2	1013.1
367.2	1025.74
368.2	1038.37
369.2	1051.02
370.2	1063.67
371.2	1076.32
372.2	1088.99
373.2	1101.65
374.2	1114.33
375.2	1127.01
376.2	1139.69
377.2	1152.38
378.2	1165.08
379.2	1177.78
380.2	1190.49
381.2	1203.2
382.2	1215.92
383.2	1228.64
384.2	1241.37
385.2	1254.11
386.2	1266.84
387.2	1279.59
388.2	1292.34
389.2	1305.09
390.2	1317.85
391.2	1330.62
392.2	1343.39
393.2	1356.16
394.2	1368.94
395.2	1381.73
396.2	1394.52
397.2	1407.31
398.2	1420.11
399.2	1432.91
400.2	1445.72
401.2	1458.53
402.2	1471.35
403.2	1484.17
404.2	1497
405.2	1509.83
406.2	1522.66
407.2	1535.5
408.2	1548.35
409.2	1561.19
410.2	1574.05
411.2	1586.9
412.2	1599.76
413.2	1612.63
414.2	1625.49
415.2	1638.36
416.2	1651.24
417.2	1664.12
418.2	1677
419.2	1689.89
420.2	1702.78
421.2	1715.67
422.2	1728.57
423.2	1741.47
424.2	1754.38
425.2	1767.28
426.2	1780.2
427.2	1793.11
428.2	1806.03
429.2	1818.95
430.2	1831.87
431.2	1844.8
432.2	1857.73
433.2	1870.67
434.2	1883.6
435.2	1896.54
436.2	1909.49
437.2	1922.43
438.2	1935.38
439.2	1948.33
440.2	1961.28
441.2	1974.24
442.2	1987.2
443.2	2000.16
444.2	2013.12
445.2	2026.09
446.2	2039.06
447.2	2052.03
448.2	2065
449.2	2077.98
450.2	2090.96
451.2	2103.94
452.2	2116.92
453.2	2129.9
454.2	2142.89
455.2	2155.88
456.2	2168.87
457.2	2181.86
458.2	2194.85
459.2	2207.85
460.2	2220.85
461.2	2233.84
462.2	2246.84
463.2	2259.85
464.2	2272.85
465.2	2285.86
466.2	2298.86
467.2	2311.87
468.2	2324.88
469.2	2337.89
470.2	2350.9
471.2	2363.91
472.2	2376.93
473.2	2389.94
474.2	2402.96
475.2	2415.98
476.2	2428.99
477.2	2442.01
478.2	2455.03
479.2	2468.05
480.2	2481.08
481.2	2494.1
482.2	2507.12
483.2	2520.14
484.2	2533.17
485.2	2546.19
486.2	2559.22
487.2	2572.24
488.2	2585.27
489.2	2598.29
490.2	2611.32
491.2	2624.35
492.2	2637.37
493.2	2650.4
494.2	2663.43
495.2	2676.45
496.2	2689.48
497.2	2702.51
498.2	2715.53
499.2	2728.56
500.2	2741.59
501.2	2754.61
502.2	2767.64
503.2	2780.67
504.2	2793.69
505.2	2806.72
506.2	2819.74
507.2	2832.76
508.2	2845.79
509.2	2858.81
510.2	2871.83
511.2	2884.85
512.2	2897.88
513.2	2910.9
514.2	2923.91
515.2	2936.93
516.2	2949.95
517.2	2962.97
518.2	2975.98
519.2	2989
520.2	3002.01
521.2	3015.02
522.2	3028.03
523.2	3041.04
524.2	3054.05
525.2	3067.06
526.2	3080.07
527.2	3093.07
528.2	3106.08
529.2	3119.08
530.2	3132.08
531.2	3145.08
532.2	3158.08
533.2	3171.07
534.2	3184.07
535.2	3197.06
536.2	3210.05
537.2	3223.04
538.2	3236.02
539.2	3249.01
540.2	3261.99
541.2	3274.98
542.2	3287.95
543.2	3300.93
544.2	3313.91
545.2	3326.88
546.2	3339.85
547.2	3352.82
548.2	3365.79
549.2	3378.75
550.2	3391.72
551.2	3404.68
552.2	3417.63
553.2	3430.59
554.2	3443.54
555.2	3456.49
556.2	3469.44
557.2	3482.39
558.2	3495.33
559.2	3508.27
560.2	3521.21
561.2	3534.14
562.2	3547.08
563.2	3560.01
564.2	3572.93
565.2	3585.86
566.2	3598.78
567.2	3611.7
568.2	3624.61
569.2	3637.53
570.2	3650.43
571.2	3663.34
572.2	3676.25
573.2	3689.15
574.2	3702.04
575.2	3714.94
576.2	3727.83
577.2	3740.72
578.2	3753.6
579.2	3766.48
580.2	3779.36
581.2	3792.23
582.2	3805.11
583.2	3817.97
584.2	3830.84
585.2	3843.7
586.2	3856.56
587.2	3869.41
588.2	3882.26
589.2	3895.11
590.2	3907.95
591.2	3920.79
592.2	3933.63
593.2	3946.46
594.2	3959.29
595.2	3972.11
596.2	3984.94
597.2	3997.75
598.2	4010.57
599.2	4023.38
600.2	4036.18
601.2	4048.98
602.2	4061.78
603.2	4074.58
604.2	4087.36
605.2	4100.15
606.2	4112.93
607.2	4125.71
608.2	4138.48
609.2	4151.25
610.2	4164.02
611.2	4176.78
612.2	4189.54
613.2	4202.29
614.2	4215.04
615.2	4227.78
616.2	4240.52
617.2	4253.26
618.2	4265.99
619.2	4278.72
620.2	4291.44
621.2	4304.16
622.2	4316.87
623.2	4329.58
624.2	4342.29
625.2	4354.99
626.2	4367.68
627.2	4380.37
628.2	4393.06
629.2	4405.74
630.2	4418.42
631.2	4431.09
632.2	4443.76
633.2	4456.42
634.2	4469.08
635.2	4481.74
