Inclusion data :
Temperature of total homogenization : 250 C
Pressure of total homogenization    : 37.8383 bar
Salinity                            : 8.41084 wt.% NaCl eq.
Density                             : 0.875241 g/ccm

Isochore data :
T [C]	P[bar]
250	37.8383
251	52.4111
252	66.8049
253	81.0916
254	95.3074
255	109.474
256	123.604
257	137.708
258	151.794
259	165.865
260	179.926
261	193.98
262	208.03
263	222.077
264	236.125
265	250.173
266	264.223
267	278.277
268	292.334
269	306.397
270	320.464
271	334.537
272	348.616
273	362.701
274	376.793
275	390.892
276	404.998
277	419.112
278	433.232
279	447.36
280	461.496
281	475.639
282	489.79
283	503.948
284	518.114
285	532.288
286	546.47
287	560.659
288	574.856
289	589.061
290	603.273
291	617.493
292	631.721
293	645.957
294	660.2
295	674.451
296	688.71
297	702.976
298	717.25
299	731.532
300	745.821
301	760.117
302	774.421
303	788.733
304	803.052
305	817.378
306	831.712
307	846.052
308	860.401
309	874.756
310	889.119
311	903.489
312	917.866
313	932.25
314	946.641
315	961.039
316	975.444
317	989.855
318	1004.27
319	1018.7
320	1033.13
321	1047.57
322	1062.02
323	1076.47
324	1090.93
325	1105.39
326	1119.86
327	1134.34
328	1148.82
329	1163.31
330	1177.81
331	1192.31
332	1206.82
333	1221.34
334	1235.86
335	1250.38
336	1264.92
337	1279.45
338	1294
339	1308.55
340	1323.1
341	1337.66
342	1352.23
343	1366.8
344	1381.38
345	1395.96
346	1410.54
347	1425.14
348	1439.73
349	1454.34
350	1468.94
351	1483.56
352	1498.17
353	1512.8
354	1527.42
355	1542.05
356	1556.69
357	1571.33
358	1585.97
359	1600.62
360	1615.28
361	1629.93
362	1644.6
363	1659.26
364	1673.93
365	1688.61
366	1703.29
367	1717.97
368	1732.65
369	1747.34
370	1762.04
371	1776.73
372	1791.43
373	1806.14
374	1820.84
375	1835.55
376	1850.27
377	1864.98
378	1879.71
379	1894.43
380	1909.15
381	1923.88
382	1938.62
383	1953.35
384	1968.09
385	1982.83
386	1997.57
387	2012.32
388	2027.06
389	2041.81
390	2056.57
391	2071.32
392	2086.08
393	2100.84
394	2115.6
395	2130.36
396	2145.13
397	2159.89
398	2174.66
399	2189.43
400	2204.2
401	2218.98
402	2233.75
403	2248.53
404	2263.31
405	2278.09
406	2292.87
407	2307.65
408	2322.43
409	2337.22
410	2352
411	2366.79
412	2381.58
413	2396.36
414	2411.15
415	2425.94
416	2440.73
417	2455.52
418	2470.31
419	2485.1
420	2499.89
421	2514.69
422	2529.48
423	2544.27
424	2559.06
425	2573.86
426	2588.65
427	2603.44
428	2618.23
429	2633.02
430	2647.82
431	2662.61
432	2677.4
433	2692.19
434	2706.98
435	2721.77
436	2736.56
437	2751.34
438	2766.13
439	2780.92
440	2795.7
441	2810.49
442	2825.27
443	2840.05
444	2854.83
445	2869.61
446	2884.39
447	2899.17
448	2913.95
449	2928.72
450	2943.49
451	2958.26
452	2973.03
453	2987.8
454	3002.57
455	3017.33
456	3032.1
457	3046.86
458	3061.62
459	3076.37
460	3091.13
461	3105.88
462	3120.63
463	3135.38
464	3150.13
465	3164.87
466	3179.61
467	3194.35
468	3209.09
469	3223.82
470	3238.55
471	3253.28
472	3268.01
473	3282.73
474	3297.45
475	3312.17
476	3326.88
477	3341.6
478	3356.3
479	3371.01
480	3385.71
481	3400.41
482	3415.11
483	3429.8
484	3444.49
485	3459.18
486	3473.86
487	3488.54
488	3503.21
489	3517.89
490	3532.56
491	3547.22
492	3561.88
493	3576.54
494	3591.19
495	3605.84
496	3620.49
497	3635.13
498	3649.77
499	3664.4
500	3679.03
501	3693.66
502	3708.28
503	3722.9
504	3737.51
505	3752.12
506	3766.72
507	3781.33
508	3795.92
509	3810.51
510	3825.1
511	3839.68
512	3854.26
513	3868.83
514	3883.4
515	3897.97
516	3912.53
517	3927.08
518	3941.63
519	3956.18
520	3970.72
521	3985.25
522	3999.78
523	4014.31
524	4028.83
525	4043.34
526	4057.85
527	4072.36
528	4086.86
529	4101.35
530	4115.84
531	4130.32
532	4144.8
533	4159.27
534	4173.74
535	4188.2
536	4202.66
537	4217.11
538	4231.56
539	4246
540	4260.43
541	4274.86
542	4289.29
543	4303.71
544	4318.12
545	4332.52
546	4346.93
547	4361.32
548	4375.71
549	4390.09
550	4404.47
551	4418.84
552	4433.21
553	4447.57
554	4461.92
555	4476.27
556	4490.61
557	4504.94
558	4519.27
559	4533.6
560	4547.91
561	4562.23
562	4576.53
563	4590.83
564	4605.12
565	4619.41
566	4633.69
567	4647.96
568	4662.23
569	4676.49
570	4690.74
571	4704.99
572	4719.23
573	4733.46
574	4747.69
575	4761.91
576	4776.13
577	4790.34
578	4804.54
579	4818.73
580	4832.92
581	4847.1
582	4861.28
583	4875.45
584	4889.61
585	4903.76
586	4917.91
587	4932.05
588	4946.19
589	4960.32
590	4974.44
591	4988.55
