Inclusion data :
Temperature of total homogenization : 291.4 C
Pressure of total homogenization    : 71.4087 bar
Salinity                            : 10.8553 wt.% NaCl eq.
Density                             : 0.843261 g/ccm

Isochore data :
T [C]	P[bar]
291.4	71.4087
292.4	83.8773
293.4	96.2867
294.4	108.653
295.4	120.986
296.4	133.295
297.4	145.585
298.4	157.861
299.4	170.126
300.4	182.383
301.4	194.634
302.4	206.881
303.4	219.126
304.4	231.369
305.4	243.613
306.4	255.857
307.4	268.103
308.4	280.352
309.4	292.603
310.4	304.858
311.4	317.117
312.4	329.38
313.4	341.648
314.4	353.921
315.4	366.199
316.4	378.482
317.4	390.771
318.4	403.065
319.4	415.366
320.4	427.672
321.4	439.985
322.4	452.304
323.4	464.63
324.4	476.961
325.4	489.3
326.4	501.645
327.4	513.997
328.4	526.355
329.4	538.72
330.4	551.092
331.4	563.471
332.4	575.856
333.4	588.249
334.4	600.648
335.4	613.054
336.4	625.467
337.4	637.888
338.4	650.315
339.4	662.748
340.4	675.189
341.4	687.637
342.4	700.092
343.4	712.553
344.4	725.021
345.4	737.497
346.4	749.979
347.4	762.468
348.4	774.964
349.4	787.466
350.4	799.976
351.4	812.492
352.4	825.015
353.4	837.544
354.4	850.081
355.4	862.623
356.4	875.173
357.4	887.729
358.4	900.292
359.4	912.861
360.4	925.437
361.4	938.019
362.4	950.608
363.4	963.203
364.4	975.805
365.4	988.413
366.4	1001.03
367.4	1013.65
368.4	1026.27
369.4	1038.91
370.4	1051.55
371.4	1064.19
372.4	1076.84
373.4	1089.5
374.4	1102.17
375.4	1114.83
376.4	1127.51
377.4	1140.19
378.4	1152.88
379.4	1165.57
380.4	1178.27
381.4	1190.98
382.4	1203.69
383.4	1216.4
384.4	1229.13
385.4	1241.85
386.4	1254.59
387.4	1267.32
388.4	1280.07
389.4	1292.82
390.4	1305.57
391.4	1318.33
392.4	1331.1
393.4	1343.87
394.4	1356.65
395.4	1369.43
396.4	1382.21
397.4	1395.01
398.4	1407.8
399.4	1420.6
400.4	1433.41
401.4	1446.22
402.4	1459.04
403.4	1471.86
404.4	1484.69
405.4	1497.52
406.4	1510.35
407.4	1523.19
408.4	1536.04
409.4	1548.89
410.4	1561.74
411.4	1574.6
412.4	1587.46
413.4	1600.33
414.4	1613.2
415.4	1626.08
416.4	1638.96
417.4	1651.84
418.4	1664.73
419.4	1677.62
420.4	1690.52
421.4	1703.42
422.4	1716.33
423.4	1729.23
424.4	1742.15
425.4	1755.06
426.4	1767.98
427.4	1780.91
428.4	1793.84
429.4	1806.77
430.4	1819.7
431.4	1832.64
432.4	1845.58
433.4	1858.53
434.4	1871.48
435.4	1884.43
436.4	1897.39
437.4	1910.34
438.4	1923.31
439.4	1936.27
440.4	1949.24
441.4	1962.21
442.4	1975.19
443.4	1988.16
444.4	2001.14
445.4	2014.13
446.4	2027.11
447.4	2040.1
448.4	2053.09
449.4	2066.09
450.4	2079.09
451.4	2092.09
452.4	2105.09
453.4	2118.09
454.4	2131.1
455.4	2144.11
456.4	2157.12
457.4	2170.14
458.4	2183.15
459.4	2196.17
460.4	2209.19
461.4	2222.22
462.4	2235.24
463.4	2248.27
464.4	2261.3
465.4	2274.33
466.4	2287.36
467.4	2300.39
468.4	2313.43
469.4	2326.47
470.4	2339.51
471.4	2352.55
472.4	2365.59
473.4	2378.64
474.4	2391.68
475.4	2404.73
476.4	2417.78
477.4	2430.83
478.4	2443.88
479.4	2456.93
480.4	2469.99
481.4	2483.04
482.4	2496.1
483.4	2509.16
484.4	2522.21
485.4	2535.27
486.4	2548.33
487.4	2561.39
488.4	2574.45
489.4	2587.52
490.4	2600.58
491.4	2613.64
492.4	2626.71
493.4	2639.77
494.4	2652.84
495.4	2665.9
496.4	2678.97
497.4	2692.04
498.4	2705.1
499.4	2718.17
500.4	2731.24
501.4	2744.31
502.4	2757.37
503.4	2770.44
504.4	2783.51
505.4	2796.58
506.4	2809.65
507.4	2822.71
508.4	2835.78
509.4	2848.85
510.4	2861.92
511.4	2874.98
512.4	2888.05
513.4	2901.12
514.4	2914.18
515.4	2927.25
516.4	2940.31
517.4	2953.38
518.4	2966.44
519.4	2979.51
520.4	2992.57
521.4	3005.63
522.4	3018.69
523.4	3031.75
524.4	3044.81
525.4	3057.87
526.4	3070.93
527.4	3083.98
528.4	3097.04
529.4	3110.09
530.4	3123.15
531.4	3136.2
532.4	3149.25
533.4	3162.3
534.4	3175.35
535.4	3188.4
536.4	3201.44
537.4	3214.49
538.4	3227.53
539.4	3240.57
540.4	3253.61
541.4	3266.65
542.4	3279.69
543.4	3292.72
544.4	3305.76
545.4	3318.79
546.4	3331.82
547.4	3344.85
548.4	3357.87
549.4	3370.9
550.4	3383.92
551.4	3396.94
552.4	3409.96
553.4	3422.98
554.4	3435.99
555.4	3449
556.4	3462.01
557.4	3475.02
558.4	3488.03
559.4	3501.03
560.4	3514.03
561.4	3527.03
562.4	3540.03
563.4	3553.02
564.4	3566.01
565.4	3579
566.4	3591.99
567.4	3604.97
568.4	3617.95
569.4	3630.93
570.4	3643.91
571.4	3656.88
572.4	3669.85
573.4	3682.82
574.4	3695.79
575.4	3708.75
576.4	3721.71
577.4	3734.66
578.4	3747.62
579.4	3760.57
580.4	3773.52
581.4	3786.46
582.4	3799.4
583.4	3812.34
584.4	3825.28
585.4	3838.21
586.4	3851.14
587.4	3864.06
588.4	3876.98
589.4	3889.9
590.4	3902.82
591.4	3915.73
592.4	3928.64
593.4	3941.54
594.4	3954.45
595.4	3967.34
596.4	3980.24
597.4	3993.13
598.4	4006.02
599.4	4018.9
600.4	4031.78
601.4	4044.66
602.4	4057.53
603.4	4070.4
604.4	4083.27
605.4	4096.13
606.4	4108.99
607.4	4121.84
608.4	4134.69
609.4	4147.54
610.4	4160.38
611.4	4173.22
612.4	4186.05
613.4	4198.88
614.4	4211.71
615.4	4224.53
616.4	4237.35
617.4	4250.16
618.4	4262.97
619.4	4275.78
620.4	4288.58
621.4	4301.38
622.4	4314.17
623.4	4326.96
624.4	4339.75
625.4	4352.53
626.4	4365.3
627.4	4378.08
628.4	4390.84
629.4	4403.61
630.4	4416.36
631.4	4429.12
632.4	4441.87
633.4	4454.61
634.4	4467.35
635.4	4480.09
636.4	4492.82
637.4	4505.55
638.4	4518.27
639.4	4530.99
640.4	4543.7
641.4	4556.41
642.4	4569.11
643.4	4581.81
644.4	4594.51
645.4	4607.19
646.4	4619.88
647.4	4632.56
648.4	4645.23
649.4	4657.9
650.4	4670.57
651.4	4683.23
652.4	4695.89
653.4	4708.54
654.4	4721.18
655.4	4733.82
656.4	4746.46
657.4	4759.09
658.4	4771.71
659.4	4784.34
660.4	4796.95
661.4	4809.56
662.4	4822.17
663.4	4834.77
664.4	4847.36
665.4	4859.95
666.4	4872.54
667.4	4885.12
668.4	4897.69
669.4	4910.26
670.4	4922.83
671.4	4935.39
672.4	4947.94
673.4	4960.49
674.4	4973.03
675.4	4985.57
676.4	4998.1
