Inclusion data :
Temperature of total homogenization : 198.5 C
Pressure of total homogenization    : 14.2592 bar
Salinity                            : 8.13915 wt.% NaCl eq.
Density                             : 0.930886 g/ccm

Isochore data :
T [C]	P[bar]
198.5	14.2592
199.5	31.7119
200.5	48.2909
201.5	64.5682
202.5	80.6858
203.5	96.7057
204.5	112.662
205.5	128.576
206.5	144.462
207.5	160.332
208.5	176.192
209.5	192.049
210.5	207.908
211.5	223.774
212.5	239.648
213.5	255.533
214.5	271.431
215.5	287.344
216.5	303.272
217.5	319.216
218.5	335.177
219.5	351.155
220.5	367.15
221.5	383.162
222.5	399.192
223.5	415.237
224.5	431.3
225.5	447.378
226.5	463.473
227.5	479.583
228.5	495.709
229.5	511.849
230.5	528.004
231.5	544.174
232.5	560.358
233.5	576.555
234.5	592.766
235.5	608.991
236.5	625.229
237.5	641.48
238.5	657.743
239.5	674.02
240.5	690.309
241.5	706.61
242.5	722.924
243.5	739.25
244.5	755.588
245.5	771.938
246.5	788.3
247.5	804.673
248.5	821.059
249.5	837.456
250.5	853.864
251.5	870.284
252.5	886.715
253.5	903.158
254.5	919.612
255.5	936.076
256.5	952.552
257.5	969.039
258.5	985.537
259.5	1002.05
260.5	1018.56
261.5	1035.09
262.5	1051.64
263.5	1068.19
264.5	1084.75
265.5	1101.32
266.5	1117.9
267.5	1134.49
268.5	1151.1
269.5	1167.71
270.5	1184.33
271.5	1200.96
272.5	1217.6
273.5	1234.25
274.5	1250.92
275.5	1267.59
276.5	1284.27
277.5	1300.95
278.5	1317.65
279.5	1334.36
280.5	1351.08
281.5	1367.8
282.5	1384.53
283.5	1401.28
284.5	1418.03
285.5	1434.79
286.5	1451.55
287.5	1468.33
288.5	1485.12
289.5	1501.91
290.5	1518.71
291.5	1535.52
292.5	1552.33
293.5	1569.16
294.5	1585.99
295.5	1602.83
296.5	1619.68
297.5	1636.53
298.5	1653.39
299.5	1670.26
300.5	1687.14
301.5	1704.02
302.5	1720.91
303.5	1737.81
304.5	1754.71
305.5	1771.62
306.5	1788.53
307.5	1805.46
308.5	1822.38
309.5	1839.32
310.5	1856.26
311.5	1873.21
312.5	1890.16
313.5	1907.12
314.5	1924.08
315.5	1941.05
316.5	1958.03
317.5	1975.01
318.5	1991.99
319.5	2008.98
320.5	2025.98
321.5	2042.98
322.5	2059.98
323.5	2076.99
324.5	2094.01
325.5	2111.03
326.5	2128.05
327.5	2145.08
328.5	2162.11
329.5	2179.15
330.5	2196.19
331.5	2213.23
332.5	2230.28
333.5	2247.33
334.5	2264.39
335.5	2281.45
336.5	2298.51
337.5	2315.58
338.5	2332.64
339.5	2349.72
340.5	2366.79
341.5	2383.87
342.5	2400.95
343.5	2418.03
344.5	2435.12
345.5	2452.21
346.5	2469.3
347.5	2486.39
348.5	2503.49
349.5	2520.58
350.5	2537.68
351.5	2554.78
352.5	2571.89
353.5	2588.99
354.5	2606.1
355.5	2623.21
356.5	2640.32
357.5	2657.43
358.5	2674.54
359.5	2691.65
360.5	2708.77
361.5	2725.88
362.5	2743
363.5	2760.11
364.5	2777.23
365.5	2794.35
366.5	2811.47
367.5	2828.59
368.5	2845.7
369.5	2862.82
370.5	2879.94
371.5	2897.06
372.5	2914.18
373.5	2931.3
374.5	2948.42
375.5	2965.54
376.5	2982.65
377.5	2999.77
378.5	3016.89
379.5	3034
380.5	3051.12
381.5	3068.23
382.5	3085.34
383.5	3102.46
384.5	3119.57
385.5	3136.68
386.5	3153.79
387.5	3170.89
388.5	3188
389.5	3205.1
390.5	3222.2
391.5	3239.3
392.5	3256.4
393.5	3273.5
394.5	3290.59
395.5	3307.68
396.5	3324.77
397.5	3341.86
398.5	3358.94
399.5	3376.03
400.5	3393.11
401.5	3410.19
402.5	3427.26
403.5	3444.33
404.5	3461.4
405.5	3478.47
406.5	3495.53
407.5	3512.59
408.5	3529.65
409.5	3546.7
410.5	3563.75
411.5	3580.8
412.5	3597.84
413.5	3614.88
414.5	3631.92
415.5	3648.95
416.5	3665.98
417.5	3683.01
418.5	3700.03
419.5	3717.05
420.5	3734.06
421.5	3751.07
422.5	3768.07
423.5	3785.07
424.5	3802.07
425.5	3819.06
426.5	3836.05
427.5	3853.03
428.5	3870.01
429.5	3886.99
430.5	3903.95
431.5	3920.92
432.5	3937.88
433.5	3954.83
434.5	3971.78
435.5	3988.73
436.5	4005.67
437.5	4022.6
438.5	4039.53
439.5	4056.45
440.5	4073.37
441.5	4090.28
442.5	4107.19
443.5	4124.09
444.5	4140.99
445.5	4157.88
446.5	4174.76
447.5	4191.64
448.5	4208.52
449.5	4225.38
450.5	4242.24
451.5	4259.1
452.5	4275.95
453.5	4292.79
454.5	4309.63
455.5	4326.46
456.5	4343.28
457.5	4360.1
458.5	4376.91
459.5	4393.72
460.5	4410.52
461.5	4427.31
462.5	4444.1
463.5	4460.87
464.5	4477.65
465.5	4494.41
466.5	4511.17
467.5	4527.92
468.5	4544.67
469.5	4561.41
470.5	4578.14
471.5	4594.86
472.5	4611.58
473.5	4628.29
474.5	4644.99
475.5	4661.69
476.5	4678.37
477.5	4695.06
478.5	4711.73
479.5	4728.4
480.5	4745.05
481.5	4761.71
482.5	4778.35
483.5	4794.99
484.5	4811.61
485.5	4828.24
486.5	4844.85
487.5	4861.46
488.5	4878.05
489.5	4894.64
490.5	4911.23
491.5	4927.8
492.5	4944.37
493.5	4960.93
494.5	4977.48
495.5	4994.02
