Inclusion data :
Temperature of total homogenization : 223.5 C
Pressure of total homogenization    : 23.3001 bar
Salinity                            : 9.59898 wt.% NaCl eq.
Density                             : 0.916161 g/ccm

Isochore data :
T [C]	P[bar]
223.5	23.3001
224.5	39.7096
225.5	55.5835
226.5	71.2099
227.5	86.6912
228.5	102.078
229.5	117.399
230.5	132.675
231.5	147.918
232.5	163.137
233.5	178.341
234.5	193.534
235.5	208.721
236.5	223.905
237.5	239.089
238.5	254.275
239.5	269.465
240.5	284.66
241.5	299.861
242.5	315.069
243.5	330.284
244.5	345.508
245.5	360.74
246.5	375.981
247.5	391.231
248.5	406.49
249.5	421.758
250.5	437.036
251.5	452.323
252.5	467.619
253.5	482.925
254.5	498.24
255.5	513.565
256.5	528.899
257.5	544.242
258.5	559.596
259.5	574.958
260.5	590.33
261.5	605.712
262.5	621.103
263.5	636.504
264.5	651.915
265.5	667.335
266.5	682.764
267.5	698.203
268.5	713.652
269.5	729.11
270.5	744.578
271.5	760.055
272.5	775.542
273.5	791.038
274.5	806.544
275.5	822.059
276.5	837.584
277.5	853.118
278.5	868.662
279.5	884.215
280.5	899.778
281.5	915.35
282.5	930.931
283.5	946.522
284.5	962.122
285.5	977.731
286.5	993.349
287.5	1008.98
288.5	1024.61
289.5	1040.26
290.5	1055.91
291.5	1071.58
292.5	1087.25
293.5	1102.93
294.5	1118.62
295.5	1134.32
296.5	1150.03
297.5	1165.75
298.5	1181.47
299.5	1197.21
300.5	1212.95
301.5	1228.7
302.5	1244.46
303.5	1260.23
304.5	1276.01
305.5	1291.79
306.5	1307.58
307.5	1323.38
308.5	1339.19
309.5	1355.01
310.5	1370.84
311.5	1386.67
312.5	1402.51
313.5	1418.36
314.5	1434.21
315.5	1450.08
316.5	1465.95
317.5	1481.83
318.5	1497.72
319.5	1513.61
320.5	1529.51
321.5	1545.42
322.5	1561.34
323.5	1577.26
324.5	1593.19
325.5	1609.12
326.5	1625.07
327.5	1641.02
328.5	1656.98
329.5	1672.94
330.5	1688.91
331.5	1704.89
332.5	1720.87
333.5	1736.86
334.5	1752.86
335.5	1768.86
336.5	1784.87
337.5	1800.88
338.5	1816.9
339.5	1832.93
340.5	1848.96
341.5	1865
342.5	1881.04
343.5	1897.09
344.5	1913.14
345.5	1929.2
346.5	1945.27
347.5	1961.34
348.5	1977.42
349.5	1993.5
350.5	2009.58
351.5	2025.67
352.5	2041.77
353.5	2057.87
354.5	2073.98
355.5	2090.09
356.5	2106.2
357.5	2122.32
358.5	2138.44
359.5	2154.57
360.5	2170.7
361.5	2186.84
362.5	2202.98
363.5	2219.12
364.5	2235.27
365.5	2251.42
366.5	2267.58
367.5	2283.74
368.5	2299.9
369.5	2316.06
370.5	2332.23
371.5	2348.41
372.5	2364.58
373.5	2380.76
374.5	2396.94
375.5	2413.13
376.5	2429.31
377.5	2445.51
378.5	2461.7
379.5	2477.89
380.5	2494.09
381.5	2510.29
382.5	2526.5
383.5	2542.7
384.5	2558.91
385.5	2575.12
386.5	2591.33
387.5	2607.55
388.5	2623.76
389.5	2639.98
390.5	2656.2
391.5	2672.42
392.5	2688.64
393.5	2704.87
394.5	2721.09
395.5	2737.32
396.5	2753.55
397.5	2769.77
398.5	2786
399.5	2802.24
400.5	2818.47
401.5	2834.7
402.5	2850.93
403.5	2867.17
404.5	2883.4
405.5	2899.64
406.5	2915.87
407.5	2932.11
408.5	2948.34
409.5	2964.58
410.5	2980.82
411.5	2997.05
412.5	3013.29
413.5	3029.52
414.5	3045.76
415.5	3062
416.5	3078.23
417.5	3094.47
418.5	3110.7
419.5	3126.93
420.5	3143.17
421.5	3159.4
422.5	3175.63
423.5	3191.86
424.5	3208.09
425.5	3224.31
426.5	3240.54
427.5	3256.77
428.5	3272.99
429.5	3289.21
430.5	3305.44
431.5	3321.66
432.5	3337.87
433.5	3354.09
434.5	3370.31
435.5	3386.52
436.5	3402.73
437.5	3418.94
438.5	3435.15
439.5	3451.35
440.5	3467.55
441.5	3483.75
442.5	3499.95
443.5	3516.15
444.5	3532.34
445.5	3548.53
446.5	3564.72
447.5	3580.91
448.5	3597.09
449.5	3613.27
450.5	3629.45
451.5	3645.62
452.5	3661.79
453.5	3677.96
454.5	3694.12
455.5	3710.29
456.5	3726.44
457.5	3742.6
458.5	3758.75
459.5	3774.9
460.5	3791.04
461.5	3807.19
462.5	3823.32
463.5	3839.46
464.5	3855.59
465.5	3871.71
466.5	3887.84
467.5	3903.95
468.5	3920.07
469.5	3936.18
470.5	3952.29
471.5	3968.39
472.5	3984.49
473.5	4000.58
474.5	4016.67
475.5	4032.75
476.5	4048.83
477.5	4064.91
478.5	4080.98
479.5	4097.05
480.5	4113.11
481.5	4129.17
482.5	4145.22
483.5	4161.26
484.5	4177.31
485.5	4193.34
486.5	4209.38
487.5	4225.4
488.5	4241.43
489.5	4257.44
490.5	4273.46
491.5	4289.46
492.5	4305.46
493.5	4321.46
494.5	4337.45
495.5	4353.43
496.5	4369.41
497.5	4385.39
498.5	4401.36
499.5	4417.32
500.5	4433.28
501.5	4449.23
502.5	4465.17
503.5	4481.11
504.5	4497.04
505.5	4512.97
506.5	4528.89
507.5	4544.81
508.5	4560.72
509.5	4576.62
510.5	4592.52
511.5	4608.41
512.5	4624.29
513.5	4640.17
514.5	4656.04
515.5	4671.91
516.5	4687.77
517.5	4703.62
518.5	4719.47
519.5	4735.31
520.5	4751.14
521.5	4766.97
522.5	4782.79
523.5	4798.6
524.5	4814.41
525.5	4830.21
526.5	4846
527.5	4861.78
528.5	4877.56
529.5	4893.34
530.5	4909.1
531.5	4924.86
532.5	4940.61
533.5	4956.35
534.5	4972.09
535.5	4987.82
