Inclusion data :
Temperature of total homogenization : 205 C
Pressure of total homogenization    : 16.1055 bar
Salinity                            : 9.98278 wt.% NaCl eq.
Density                             : 0.938868 g/ccm

Isochore data :
T [C]	P[bar]
205	16.1055
206	33.7538
207	50.3973
208	66.6812
209	82.773
210	98.747
211	114.644
212	130.49
213	146.302
214	162.092
215	177.869
216	193.641
217	209.413
218	225.187
219	240.968
220	256.758
221	272.557
222	288.368
223	304.192
224	320.028
225	335.878
226	351.74
227	367.617
228	383.507
229	399.41
230	415.326
231	431.255
232	447.198
233	463.153
234	479.121
235	495.101
236	511.093
237	527.098
238	543.115
239	559.144
240	575.185
241	591.237
242	607.302
243	623.378
244	639.466
245	655.566
246	671.677
247	687.801
248	703.935
249	720.082
250	736.24
251	752.409
252	768.59
253	784.783
254	800.987
255	817.203
256	833.43
257	849.669
258	865.919
259	882.181
260	898.454
261	914.738
262	931.034
263	947.341
264	963.659
265	979.989
266	996.329
267	1012.68
268	1029.04
269	1045.42
270	1061.8
271	1078.2
272	1094.61
273	1111.02
274	1127.45
275	1143.89
276	1160.34
277	1176.8
278	1193.28
279	1209.76
280	1226.25
281	1242.75
282	1259.27
283	1275.79
284	1292.33
285	1308.87
286	1325.42
287	1341.99
288	1358.56
289	1375.15
290	1391.74
291	1408.34
292	1424.96
293	1441.58
294	1458.21
295	1474.86
296	1491.51
297	1508.17
298	1524.84
299	1541.52
300	1558.2
301	1574.9
302	1591.61
303	1608.32
304	1625.05
305	1641.78
306	1658.52
307	1675.27
308	1692.03
309	1708.79
310	1725.57
311	1742.35
312	1759.14
313	1775.94
314	1792.75
315	1809.56
316	1826.39
317	1843.22
318	1860.05
319	1876.9
320	1893.75
321	1910.61
322	1927.48
323	1944.35
324	1961.23
325	1978.12
326	1995.01
327	2011.92
328	2028.82
329	2045.74
330	2062.66
331	2079.59
332	2096.52
333	2113.46
334	2130.41
335	2147.36
336	2164.32
337	2181.28
338	2198.25
339	2215.23
340	2232.21
341	2249.19
342	2266.18
343	2283.18
344	2300.18
345	2317.19
346	2334.2
347	2351.22
348	2368.24
349	2385.26
350	2402.3
351	2419.33
352	2436.37
353	2453.41
354	2470.46
355	2487.51
356	2504.57
357	2521.63
358	2538.69
359	2555.76
360	2572.83
361	2589.9
362	2606.98
363	2624.06
364	2641.14
365	2658.23
366	2675.32
367	2692.41
368	2709.51
369	2726.61
370	2743.71
371	2760.81
372	2777.92
373	2795.03
374	2812.14
375	2829.25
376	2846.36
377	2863.48
378	2880.6
379	2897.72
380	2914.84
381	2931.96
382	2949.09
383	2966.21
384	2983.34
385	3000.47
386	3017.6
387	3034.73
388	3051.86
389	3068.99
390	3086.12
391	3103.26
392	3120.39
393	3137.52
394	3154.66
395	3171.79
396	3188.93
397	3206.06
398	3223.2
399	3240.33
400	3257.47
401	3274.6
402	3291.73
403	3308.87
404	3326
405	3343.13
406	3360.26
407	3377.39
408	3394.52
409	3411.65
410	3428.78
411	3445.9
412	3463.03
413	3480.15
414	3497.27
415	3514.39
416	3531.51
417	3548.63
418	3565.74
419	3582.86
420	3599.97
421	3617.08
422	3634.19
423	3651.29
424	3668.39
425	3685.49
426	3702.59
427	3719.69
428	3736.78
429	3753.87
430	3770.96
431	3788.04
432	3805.12
433	3822.2
434	3839.27
435	3856.35
436	3873.42
437	3890.48
438	3907.54
439	3924.6
440	3941.66
441	3958.71
442	3975.76
443	3992.8
444	4009.84
445	4026.88
446	4043.91
447	4060.94
448	4077.96
449	4094.98
450	4112
451	4129.01
452	4146.02
453	4163.02
454	4180.02
455	4197.01
456	4214
457	4230.98
458	4247.96
459	4264.94
460	4281.91
461	4298.87
462	4315.83
463	4332.79
464	4349.74
465	4366.68
466	4383.62
467	4400.55
468	4417.48
469	4434.41
470	4451.32
471	4468.23
472	4485.14
473	4502.04
474	4518.93
475	4535.82
476	4552.71
477	4569.58
478	4586.45
479	4603.32
480	4620.18
481	4637.03
482	4653.88
483	4670.72
484	4687.55
485	4704.38
486	4721.2
487	4738.01
488	4754.82
489	4771.62
490	4788.42
491	4805.21
492	4821.99
493	4838.76
494	4855.53
495	4872.29
496	4889.04
497	4905.79
498	4922.53
499	4939.27
500	4955.99
501	4972.71
502	4989.42
